id,item_sub_type,item_option_id,ratio
1,Weapon,2016000002,1
2,Weapon,2016000003,1
3,Weapon,2016000005,2
4,Weapon,2016000006,2
5,Weapon,2016000011,2
6,Weapon,2016000012,3
7,Weapon,2016000013,4
8,Weapon,2016000014,5
9,Weapon,2016000019,3
10,Weapon,2016000020,4
11,Weapon,2016000021,5
12,Weapon,2016000022,6
13,Weapon,2016000023,3
14,Weapon,2016000024,4
15,Weapon,2016000025,5
16,Weapon,2016000026,6
17,Weapon,2066000001,3
18,Weapon,2066000002,3
19,Weapon,2066000003,3
20,Weapon,2066000004,3
21,Weapon,2066000005,3
22,Weapon,2066000007,3
23,Weapon,2066000008,3
24,Weapon,2066000010,3
25,Weapon,2066000012,3
26,Weapon,2066000013,3
27,Weapon,2066000014,3
28,Weapon,2066000016,4
29,Weapon,2066000017,4
30,Weapon,2066000018,5
31,Weapon,2066000019,5
32,Weapon,2066000020,5
33,Weapon,2066000021,5
34,Weapon,2066000022,5
35,Weapon,2066000023,5
36,Weapon,2066000024,5
37,Weapon,2066000025,5
38,Weapon,2066000026,4
39,Weapon,2066000027,5
40,Weapon,2066000028,6
41,Weapon,2066000029,7
42,Weapon,2066000030,4
43,Weapon,2066000031,5
44,Weapon,2066000032,6
45,Weapon,2066000033,7
46,Weapon,2066000034,4
47,Weapon,2066000035,5
48,Weapon,2066000036,6
49,Weapon,2066000037,7
50,Weapon,2066000038,4
51,Weapon,2066000039,5
52,Weapon,2066000040,6
53,Weapon,2066000041,7
54,Weapon,2066000042,4
55,Weapon,2066000043,5
56,Weapon,2066000044,6
57,Weapon,2066000045,7
58,Weapon,2066000050,4
59,Weapon,2066000051,5
60,Weapon,2066000052,6
61,Weapon,2066000053,7
62,Weapon,2066000054,4
63,Weapon,2066000055,5
64,Weapon,2066000056,6
65,Weapon,2066000057,7
66,Weapon,2066000062,4
67,Weapon,2066000063,5
68,Weapon,2066000064,6
69,Weapon,2066000065,7
70,Weapon,2066000070,4
71,Weapon,2066000071,5
72,Weapon,2066000072,6
73,Weapon,2066000073,7
74,Weapon,2066000074,4
75,Weapon,2066000075,5
76,Weapon,2066000076,6
77,Weapon,2066000077,7
78,Weapon,2066000078,4
79,Weapon,2066000079,5
80,Weapon,2066000080,6
81,Weapon,2066000081,7
82,Weapon,2066000086,5
83,Weapon,2066000087,6
84,Weapon,2066000088,7
85,Weapon,2066000089,8
86,Weapon,2066000090,5
87,Weapon,2066000091,6
88,Weapon,2066000092,7
89,Weapon,2066000093,8
90,Weapon,2066000094,6
91,Weapon,2066000095,7
92,Weapon,2066000096,8
93,Weapon,2066000097,9
94,Weapon,2066000098,6
95,Weapon,2066000099,7
96,Weapon,2066000100,8
97,Weapon,2066000101,9
98,Weapon,2066000102,6
99,Weapon,2066000103,7
100,Weapon,2066000104,8
101,Weapon,2066000105,9
102,Weapon,2066000106,6
103,Weapon,2066000107,7
104,Weapon,2066000108,8
105,Weapon,2066000109,9
106,Weapon,2066000110,6
107,Weapon,2066000111,7
108,Weapon,2066000112,8
109,Weapon,2066000113,9
110,Weapon,2066000114,6
111,Weapon,2066000115,7
112,Weapon,2066000116,8
113,Weapon,2066000117,9
114,Weapon,2066000118,6
115,Weapon,2066000119,7
116,Weapon,2066000120,8
117,Weapon,2066000121,9
118,Weapon,2066000122,6
119,Weapon,2066000123,7
120,Weapon,2066000124,8
121,Weapon,2066000125,9
122,Necklace,2046000003,999
123,Necklace,2046000005,1
124,Necklace,2046000014,2
125,Necklace,2046000015,3
126,Necklace,2046000016,4
127,Necklace,2046000017,5
128,Necklace,2066000001,3
129,Necklace,2066000002,3
130,Necklace,2066000003,3
131,Necklace,2066000004,3
132,Necklace,2066000005,3
133,Necklace,2066000007,3
134,Necklace,2066000008,3
135,Necklace,2066000010,3
136,Necklace,2066000012,3
137,Necklace,2066000013,3
138,Necklace,2066000014,3
139,Necklace,2066000016,4
140,Necklace,2066000017,4
141,Necklace,2066000018,5
142,Necklace,2066000019,5
143,Necklace,2066000020,5
144,Necklace,2066000021,5
145,Necklace,2066000022,5
146,Necklace,2066000023,5
147,Necklace,2066000024,5
148,Necklace,2066000025,5
149,Necklace,2066000026,4
150,Necklace,2066000027,5
151,Necklace,2066000028,6
152,Necklace,2066000029,7
153,Necklace,2066000030,4
154,Necklace,2066000031,5
155,Necklace,2066000032,6
156,Necklace,2066000033,7
157,Necklace,2066000034,4
158,Necklace,2066000035,5
159,Necklace,2066000036,6
160,Necklace,2066000037,7
161,Necklace,2066000038,4
162,Necklace,2066000039,5
163,Necklace,2066000040,6
164,Necklace,2066000041,7
165,Necklace,2066000042,4
166,Necklace,2066000043,5
167,Necklace,2066000044,6
168,Necklace,2066000045,7
169,Necklace,2066000050,4
170,Necklace,2066000051,5
171,Necklace,2066000052,6
172,Necklace,2066000053,7
173,Necklace,2066000054,4
174,Necklace,2066000055,5
175,Necklace,2066000056,6
176,Necklace,2066000057,7
177,Necklace,2066000062,4
178,Necklace,2066000063,5
179,Necklace,2066000064,6
180,Necklace,2066000065,7
181,Necklace,2066000070,4
182,Necklace,2066000071,5
183,Necklace,2066000072,6
184,Necklace,2066000073,7
185,Necklace,2066000074,4
186,Necklace,2066000075,5
187,Necklace,2066000076,6
188,Necklace,2066000077,7
189,Necklace,2066000078,4
190,Necklace,2066000079,5
191,Necklace,2066000080,6
192,Necklace,2066000081,7
193,Necklace,2066000086,5
194,Necklace,2066000087,6
195,Necklace,2066000088,7
196,Necklace,2066000089,8
197,Necklace,2066000090,5
198,Necklace,2066000091,6
199,Necklace,2066000092,7
200,Necklace,2066000093,8
201,Necklace,2066000094,6
202,Necklace,2066000095,7
203,Necklace,2066000096,8
204,Necklace,2066000097,9
205,Necklace,2066000098,6
206,Necklace,2066000099,7
207,Necklace,2066000100,8
208,Necklace,2066000101,9
209,Necklace,2066000102,6
210,Necklace,2066000103,7
211,Necklace,2066000104,8
212,Necklace,2066000105,9
213,Necklace,2066000106,6
214,Necklace,2066000107,7
215,Necklace,2066000108,8
216,Necklace,2066000109,9
217,Necklace,2066000110,6
218,Necklace,2066000111,7
219,Necklace,2066000112,8
220,Necklace,2066000113,9
221,Necklace,2066000114,6
222,Necklace,2066000115,7
223,Necklace,2066000116,8
224,Necklace,2066000117,9
225,Necklace,2066000118,6
226,Necklace,2066000119,7
227,Necklace,2066000120,8
228,Necklace,2066000121,9
229,Necklace,2066000122,6
230,Necklace,2066000123,7
231,Necklace,2066000124,8
232,Necklace,2066000125,9
233,Ring,2056000001,1
234,Ring,2056000003,3
235,Ring,2056000004,3
236,Ring,2056000006,3
237,Ring,2056000007,3
238,Ring,2056000012,4
239,Ring,2056000013,5
240,Ring,2056000014,6
241,Ring,2056000015,7
242,Ring,2056000016,4
243,Ring,2056000017,5
244,Ring,2056000018,6
245,Ring,2056000019,7
246,Ring,2056000024,4
247,Ring,2056000025,5
248,Ring,2056000026,6
249,Ring,2056000027,7
250,Ring,2056000028,4
251,Ring,2056000029,5
252,Ring,2056000030,6
253,Ring,2056000031,7
254,Ring,2066000001,3
255,Ring,2066000002,3
256,Ring,2066000003,3
257,Ring,2066000004,3
258,Ring,2066000005,3
259,Ring,2066000007,3
260,Ring,2066000008,3
261,Ring,2066000010,3
262,Ring,2066000012,3
263,Ring,2066000013,3
264,Ring,2066000014,3
265,Ring,2066000016,4
266,Ring,2066000017,4
267,Ring,2066000018,5
268,Ring,2066000019,5
269,Ring,2066000020,5
270,Ring,2066000021,5
271,Ring,2066000022,5
272,Ring,2066000023,5
273,Ring,2066000024,5
274,Ring,2066000025,5
275,Ring,2066000026,4
276,Ring,2066000027,5
277,Ring,2066000028,6
278,Ring,2066000029,7
279,Ring,2066000030,4
280,Ring,2066000031,5
281,Ring,2066000032,6
282,Ring,2066000033,7
283,Ring,2066000034,4
284,Ring,2066000035,5
285,Ring,2066000036,6
286,Ring,2066000037,7
287,Ring,2066000038,4
288,Ring,2066000039,5
289,Ring,2066000040,6
290,Ring,2066000041,7
291,Ring,2066000042,4
292,Ring,2066000043,5
293,Ring,2066000044,6
294,Ring,2066000045,7
295,Ring,2066000050,4
296,Ring,2066000051,5
297,Ring,2066000052,6
298,Ring,2066000053,7
299,Ring,2066000054,4
300,Ring,2066000055,5
301,Ring,2066000056,6
302,Ring,2066000057,7
303,Ring,2066000062,4
304,Ring,2066000063,5
305,Ring,2066000064,6
306,Ring,2066000065,7
307,Ring,2066000070,4
308,Ring,2066000071,5
309,Ring,2066000072,6
310,Ring,2066000073,7
311,Ring,2066000074,4
312,Ring,2066000075,5
313,Ring,2066000076,6
314,Ring,2066000077,7
315,Ring,2066000078,4
316,Ring,2066000079,5
317,Ring,2066000080,6
318,Ring,2066000081,7
319,Ring,2066000086,5
320,Ring,2066000087,6
321,Ring,2066000088,7
322,Ring,2066000089,8
323,Ring,2066000090,5
324,Ring,2066000091,6
325,Ring,2066000092,7
326,Ring,2066000093,8
327,Ring,2066000094,6
328,Ring,2066000095,7
329,Ring,2066000096,8
330,Ring,2066000097,9
331,Ring,2066000098,6
332,Ring,2066000099,7
333,Ring,2066000100,8
334,Ring,2066000101,9
335,Ring,2066000102,6
336,Ring,2066000103,7
337,Ring,2066000104,8
338,Ring,2066000105,9
339,Ring,2066000106,6
340,Ring,2066000107,7
341,Ring,2066000108,8
342,Ring,2066000109,9
343,Ring,2066000110,6
344,Ring,2066000111,7
345,Ring,2066000112,8
346,Ring,2066000113,9
347,Ring,2066000114,6
348,Ring,2066000115,7
349,Ring,2066000116,8
350,Ring,2066000117,9
351,Ring,2066000118,6
352,Ring,2066000119,7
353,Ring,2066000120,8
354,Ring,2066000121,9
355,Ring,2066000122,6
356,Ring,2066000123,7
357,Ring,2066000124,8
358,Ring,2066000125,9